person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
33,28200,RENT,2.0,EDUCATION,C,9000,,0.32,0,8
24,99996,MORTGAGE,5.0,MEDICAL,C,10000,13.61,0.1,1,3
22,60000,RENT,4.0,PERSONAL,A,9600,7.9,0.16,0,3
26,33000,MORTGAGE,1.0,DEBTCONSOLIDATION,C,12000,10.91,0.36,1,3
22,19200,MORTGAGE,6.0,PERSONAL,B,4950,11.71,0.26,0,2
26,108000,RENT,2.0,PERSONAL,D,25000,15.05,0.23,0,2
22,30000,RENT,4.0,PERSONAL,B,6000,10.99,0.2,0,2
31,31692,RENT,2.0,VENTURE,D,13150,13.24,0.41,1,5
21,24000,RENT,2.0,MEDICAL,C,5000,12.98,0.21,0,2
22,75000,RENT,6.0,EDUCATION,A,12000,,0.16,0,2
35,80000,MORTGAGE,8.0,HOMEIMPROVEMENT,B,15000,,0.19,0,9
36,62400,MORTGAGE,0.0,PERSONAL,A,2400,7.49,0.04,0,14
23,57600,RENT,3.0,VENTURE,D,10000,15.58,0.17,1,4
37,29000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,7750,,0.27,0,16
25,79000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,9000,6.76,0.11,0,4
32,20000,RENT,3.0,DEBTCONSOLIDATION,B,4750,10.37,0.24,0,8
24,35004,RENT,3.0,PERSONAL,B,18250,11.49,0.52,0,4
22,89250,MORTGAGE,3.0,MEDICAL,B,25000,12.53,0.24,0,4
30,140000,MORTGAGE,6.0,PERSONAL,A,5000,8.9,0.04,0,6
23,120000,MORTGAGE,8.0,MEDICAL,A,10000,7.88,0.08,0,2
31,159200,MORTGAGE,1.0,DEBTCONSOLIDATION,D,16000,15.65,0.1,1,6
23,35004,RENT,7.0,VENTURE,A,8000,,0.23,0,3
24,43000,MORTGAGE,6.0,MEDICAL,B,6000,10.65,0.14,0,3
29,53004,MORTGAGE,2.0,HOMEIMPROVEMENT,A,15000,9.63,0.28,0,10
28,24000,MORTGAGE,2.0,HOMEIMPROVEMENT,B,9600,11.99,0.4,0,8
21,27996,MORTGAGE,5.0,EDUCATION,A,10000,9.63,0.36,0,4
22,40000,RENT,2.0,PERSONAL,B,4000,11.49,0.1,0,4
25,36996,RENT,2.0,EDUCATION,E,12450,16.32,0.34,0,2
26,64000,MORTGAGE,9.0,DEBTCONSOLIDATION,D,8000,12.17,0.13,0,2
26,145000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,14000,10.59,0.1,0,2
34,33456,RENT,2.0,EDUCATION,E,4000,16.45,0.12,0,5
53,4888,OWN,0.0,VENTURE,C,1400,,0.29,1,28
24,70000,MORTGAGE,2.0,EDUCATION,C,6000,15.23,0.09,0,4
41,62500,RENT,4.0,EDUCATION,B,14000,10.25,0.22,0,16
27,57000,RENT,,HOMEIMPROVEMENT,D,25475,15.99,0.45,1,7
28,90722,MORTGAGE,7.0,HOMEIMPROVEMENT,B,18000,10.99,0.2,0,5
40,108000,OWN,,PERSONAL,A,3500,,0.03,0,15
23,33000,RENT,2.0,VENTURE,A,7000,7.9,0.21,0,2
23,40000,RENT,3.0,EDUCATION,C,4000,13.8,0.1,1,3
24,32640,RENT,5.0,EDUCATION,B,2000,10.0,0.06,0,2
30,59000,MORTGAGE,4.0,MEDICAL,A,10000,8.0,0.17,0,9
23,50000,RENT,3.0,EDUCATION,B,10000,9.91,0.2,0,3
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,0.17,0,3
57,77385,RENT,4.0,PERSONAL,A,6625,7.66,0.09,0,27
26,70000,MORTGAGE,3.0,EDUCATION,C,3500,14.35,0.05,0,3
29,93000,MORTGAGE,9.0,PERSONAL,E,20000,16.82,0.22,0,8
22,37740,RENT,6.0,MEDICAL,A,7000,,0.19,0,3
24,90000,MORTGAGE,8.0,VENTURE,B,7000,10.99,0.08,0,3
23,80000,RENT,3.0,DEBTCONSOLIDATION,A,7200,8.9,0.09,0,2
30,48000,RENT,4.0,MEDICAL,A,7500,7.49,0.16,0,6
23,50000,RENT,4.0,MEDICAL,B,2800,11.86,0.06,0,2
24,38400,MORTGAGE,8.0,HOMEIMPROVEMENT,B,10000,10.99,0.26,0,2
31,50000,RENT,2.0,MEDICAL,C,18000,13.48,0.36,1,9
22,50000,RENT,1.0,PERSONAL,A,7500,8.32,0.15,0,4
27,64000,RENT,0.0,MEDICAL,C,12000,13.49,0.19,1,5
30,91000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,18500,12.42,0.2,0,7
26,81000,RENT,10.0,PERSONAL,A,6000,7.51,0.07,0,2
29,35000,MORTGAGE,1.0,PERSONAL,A,3600,8.0,0.1,0,9
26,145992,MORTGAGE,0.0,PERSONAL,D,20000,,0.14,1,2
24,32000,RENT,1.0,VENTURE,A,2700,,0.08,0,3
26,34000,RENT,4.0,PERSONAL,E,4200,16.82,0.12,1,3
24,105000,RENT,8.0,DEBTCONSOLIDATION,B,15000,10.95,0.14,0,3
22,50000,RENT,6.0,EDUCATION,A,15000,6.03,0.3,0,2
23,30000,RENT,7.0,MEDICAL,B,2500,9.88,0.08,0,2
36,74000,MORTGAGE,4.0,EDUCATION,B,10250,11.48,0.14,0,15
25,30000,MORTGAGE,2.0,VENTURE,B,8000,10.65,0.27,0,4
23,50000,OWN,0.0,MEDICAL,A,10200,9.63,0.2,0,4
34,86100,MORTGAGE,5.0,VENTURE,A,18000,6.99,0.21,0,5
29,68000,MORTGAGE,11.0,EDUCATION,A,4000,5.99,0.06,0,5
30,60000,RENT,0.0,HOMEIMPROVEMENT,A,8000,7.66,0.13,0,6
24,80004,MORTGAGE,8.0,VENTURE,A,6000,8.63,0.07,0,4
28,150000,MORTGAGE,12.0,HOMEIMPROVEMENT,B,15000,11.89,0.1,0,9
25,51684,MORTGAGE,9.0,PERSONAL,D,4000,15.99,0.08,0,4
23,53664,RENT,1.0,DEBTCONSOLIDATION,B,9000,12.21,0.17,0,4
27,79200,OWN,1.0,HOMEIMPROVEMENT,E,15000,17.14,0.19,0,8
26,244800,MORTGAGE,11.0,MEDICAL,D,12000,16.29,0.04,1,4
29,33000,MORTGAGE,2.0,PERSONAL,A,16000,8.63,0.48,0,7
22,30000,RENT,5.0,VENTURE,B,7200,11.71,0.24,0,3
32,25200,RENT,9.0,MEDICAL,A,4900,6.17,0.19,0,6
28,76992,MORTGAGE,8.0,EDUCATION,B,1800,12.18,0.02,0,8
24,54480,RENT,8.0,HOMEIMPROVEMENT,B,10000,11.89,0.18,0,3
27,85000,RENT,11.0,PERSONAL,B,20000,10.59,0.24,0,8
23,45756,RENT,8.0,MEDICAL,A,10000,7.29,0.22,0,2
26,41400,RENT,5.0,DEBTCONSOLIDATION,B,7300,9.45,0.18,0,4
25,60000,RENT,3.0,VENTURE,D,7000,15.62,0.12,0,4
37,45000,RENT,0.0,EDUCATION,C,6000,12.61,0.13,0,17
23,79996,MORTGAGE,2.0,EDUCATION,E,24000,16.32,0.3,1,3
23,59497,RENT,0.0,MEDICAL,E,20000,16.0,0.29,0,3
27,37000,RENT,4.0,EDUCATION,B,7900,11.11,0.21,0,7
21,65000,MORTGAGE,5.0,DEBTCONSOLIDATION,B,2200,12.42,0.03,0,3
25,122000,MORTGAGE,9.0,PERSONAL,C,20000,13.23,0.16,0,4
37,220000,RENT,0.0,EDUCATION,B,30000,9.91,0.14,0,17
33,30929,MORTGAGE,12.0,EDUCATION,A,5300,7.68,0.17,0,7
30,120000,MORTGAGE,6.0,MEDICAL,A,9600,7.66,0.08,0,9
23,56000,MORTGAGE,7.0,VENTURE,D,8000,14.54,0.14,1,2
26,88000,RENT,0.0,VENTURE,E,16000,17.88,0.18,1,4
27,85000,MORTGAGE,11.0,PERSONAL,A,10000,7.49,0.12,0,8
22,47091,MORTGAGE,6.0,VENTURE,A,10000,,0.21,0,3
26,43000,RENT,4.0,EDUCATION,C,10000,14.65,0.23,0,4
24,65000,MORTGAGE,8.0,PERSONAL,A,3300,7.51,0.05,0,4
